Fecha,Sucursal,Region,Vendedor,Cliente,Producto,Categoria,Metodo_Pago,ID_Venta,Cantidad,Precio_Unitario,Total
2024-06-09,Sevilla,Sur,Carlos,Recurrente,Lámpara,Hogar,Transferencia,1,14,159.08,2227.12
2024-09-12,Bilbao,Norte,Ana,Recurrente,Chaqueta,Ropa,Transferencia,2,18,123.16,2216.88
2024-11-18,Valencia,Este,Carlos,Nuevo,Smartphone,Electrónica,Tarjeta,3,9,185.63,1670.67
2024-12-14,Bilbao,Norte,Luis,Nuevo,Smartphone,Electrónica,Tarjeta,4,2,131.96,263.92
2024-06-02,Zaragoza,Noreste,Marta,Recurrente,Silla,Hogar,Efectivo,5,15,41.97,629.55
2024-03-03,Madrid,Centro,Luis,,Pantalones,Ropa,Efectivo,6,15,112.56,1688.4
2024-07-06,Madrid,Centro,Carlos,Nuevo,Laptop,Electrónica,Transferencia,7,1,192.65,192.65
2024-09-02,Bilbao,Norte,Marta,Nuevo,,Ropa,Transferencia,8,3,109.91,329.73
2024-03-10,Sevilla,Sur,Marta,Nuevo,Lámpara,Hogar,Transferencia,9,3,151.78,455.34
2024-09-24,Sevilla,Sur,Carlos,Recurrente,Smartphone,Electrónica,Efectivo,10,13,50.18,652.34
2024-10-18,Malaga,Sur,Marta,Nuevo,Camiseta,Ropa,Tarjeta,11,10,134.18,1341.8
2024-12-23,Malaga,,Ana,Nuevo,Cafetera,Hogar,Transferencia,12,6,132.88,797.28
2024-05-30,Bilbao,Norte,Carlos,Recurrente,Zapatos,Ropa,Transferencia,13,2,189.77,379.54
2024-02-13,Sevilla,Sur,Ana,Nuevo,Auriculares,Electrónica,Tarjeta,14,12,185.73,2228.76
2024-05-18,Zaragoza,Noreste,Luis,Recurrente,Silla,Hogar,Tarjeta,15,11,146.42,1610.62
2024-01-26,Madrid,Centro,Carlos,Nuevo,Chaqueta,Ropa,Efectivo,16,14,40.1,561.4
2024-06-15,Bilbao,Norte,Marta,Nuevo,Humidificador,Hogar,Tarjeta,17,16,61.41,982.56
2024-06-25,Zaragoza,Noreste,Luis,Recurrente,Lámpara,Hogar,Tarjeta,18,17,126.31,2147.27
2024-05-02,Sevilla,Sur,Carlos,Recurrente,Smartphone,Electrónica,Tarjeta,19,4,166.75,667.0
2024-01-13,Valencia,Este,Luis,Nuevo,Auriculares,Electrónica,Efectivo,20,5,37.36,186.8
2024-05-19,Madrid,Centro,Marta,Recurrente,Chaqueta,Ropa,Tarjeta,21,12,74.5,894.0
2024-10-19,Malaga,Sur,Ana,,Lámpara,Hogar,Efectivo,22,6,160.05,960.3
2024-04-18,Madrid,Centro,Carlos,Recurrente,Laptop,Electrónica,Tarjeta,23,5,188.07,940.35
2024-06-25,Madrid,Centro,Luis,Recurrente,,Ropa,Transferencia,24,19,103.11,1959.09
2024-10-25,Valencia,,Ana,Nuevo,Auriculares,Electrónica,Efectivo,25,18,52.48,944.64
2024-08-14,Valencia,Este,Marta,Nuevo,Lámpara,Hogar,Efectivo,26,17,117.84,2003.28
